"SITEID","SITENAME","SITEDESCRI","SITETYPE","SITESTATUS","POSTCODE","DIRECTIONS","W3W","X","Y","CATEGORY"
"17856","WEYMOUTH","CUSTOM HOUSE QUAY HIGHWAY DRAINAGE","Private Sewage Pumping Station","In Use","DT4 8BE","","dent.feed.kicks","367889","78739","Waste"
"17857","BRYANSTON","LOWER","Sewage Pumping Station","Abandoned","DT11 0PW","","stored.coil.catch","387421","106254","Waste"
"17859","PIMPERNE","CHAPEL LANE","Sewage Pumping Station","Demolished","DT11 8BS","","dabbing.depths.distilled","390384","108811","Waste"
"17860","WIMBORNE","HANHAM ROAD HIGHWAY DRAINAGE","Private Sewage Pumping Station","In Use","BH21 1AS","","shapeless.cyclones.whips","401104","100128","Waste"
"17861","POOLE","SANDBANKS HOTEL SHORE ROAD","Private Sewage Pumping Station","Abandoned","BH13 7PJ","SINGLE MANAGED SITE.","punk.cracks.coherent","405017","88383","Waste"
"17862","THROOP","GLEBE COTTAGE","Private Sewage Pumping Station","In Use","DT2 7JD","","bound.hormones.utensil","382893","93236","Waste"
"17863","BOURNEMOUTH","BROADWAY LANE","Private Sewage Pumping Station","Abandoned","BH8 0AG","","rarely.tested.daring","410455","95477","Waste"
"17864","AMESBURY","MILLS WAY","Sewage Pumping Station","In Use","SP4 7RX","","guests.paint.luckier","416705","141808","Waste"
"17865","WILTON","SOUTH STREET HIGHWAY DRAINAGE","Private Sewage Pumping Station","In Use","SP2 0JU","","spouting.engage.watched","409569","131096","Waste"
"17866","BOURNEMOUTH","WELLINGTON ROAD HIGHWAY DRAINAGE","Private Sewage Pumping Station","In Use","BH8 8JQ","HIGHWAY DRAINAGE ONLY.","tried.pram.bolts","409679","92118","Waste"
"17867","WINFRITH NEWBURGH","PROCESS WASTE","Private Sewage Pumping Station","In Use","DT2 8DZ","","digestion.quilt.sneezing","382462","86731","Waste"
"17868","WOTTON-UNDER-EDGE","TORTWORTH COURT HOTEL","Private Sewage Pumping Station","In Use","GL12 8HH","ON SINGLE MANAGED SITE.","happy.perusing.educated","369319","192492","Waste"
"17869","WEST QUANTOXHEAD","ST. AUDRIES PARK","Private Sewage Pumping Station","In Use","TA4 4DS","ON SINGLE MANAGED SITE.","cocoons.estimates.unstable","311058","142306","Waste"
"17870","BOURNEMOUTH","AFC BOURNEMOUTH FOOTBALL STADIUM","Private Sewage Pumping Station","In Use","BH7 7AF","ON SINGLE MANAGED SITE.","remind.valve.caged","411416","92865","Waste"
"17871","BOURNEMOUTH","CARRINGTON HOUSE HOTEL","Private Sewage Pumping Station","In Use","BH1 3QQ","ON SINGLE MANAGED SITE.","fines.broker.spent","410490","91624","Waste"
"17872","BOURNEMOUTH","9 CAMBRIDGE ROAD","Private Sewage Pumping Station","In Use","BH2 6AE","","camp.rash.danger","407965","91312","Waste"
"17873","BOURNEMOUTH","89 SOUTHBOURNE ROAD","Private Sewage Pumping Station","In Use","BH6 5AQ","BLOCK OF FLATS","manage.glue.talked","413250","91991","Waste"
"17874","BOURNEMOUTH","BOSCOMBE LIBRARY AND FLATS","Private Sewage Pumping Station","In Use","BH5 1BY","OWNED BY SYNERGY.","prop.dirt.case","411639","91903","Waste"
"17875","HIGHBRIDGE","MORLAND HALL","Private Sewage Pumping Station","In Use","TA9 3ET","ON SINGLE MANAGED SITE.","pasting.cars.clapper","331736","147640","Waste"
"17876","BRISTOL","42 BELVOIR ROAD","Private Sewage Pumping Station","In Use","BS6 5DJ","SINGLE PROPERTY PUMPING STATION","civic.often.seats","359160","174636","Waste"
"17877","PATCHWAY","WOOD STREET","Private Sewage Pumping Station","Demolished","BS34 5AG","","clocks.curry.ally","360082","181341","Waste"
"17878","WARMINSTER","ATYEO PLACE","Sewage Pumping Station","In Use","BA12 9BL","DRIVE DOWN THE AVENUE PAST HOSPITAL AND PARK SOMEWHERE NEAR THE AVENUE SCHOOLE. AYTEO PLACE IS ON RIGHT HAND SIDE.","revolts.devoured.able","387514","145295","Waste"
"17879","BUSHTON","BUSHTON ESTATES YARD","Private Sewage Pumping Station","In Use","SN4 7PX","ON SINGLE MANAGED SITE.","villa.obscuring.oven","406500","177400","Waste"
"17880","THORNCOMBE","GRIBB VIEW","Private Sewage Pumping Station","In Use","TA20 4ND","","dispensed.orchestra.novel","337429","103591","Waste"
"17881","YEOVIL","FANCY GARDENS","Sewage Pumping Station","In Use","BA21 4PH","FOLLOW THE POSTCODE TO FANCY GARDENS YEOVIL, TURN INTO FOLLY FIELDS AND PARK IN FRONT OF NO 2. PS IS IN THE REAR GARDEN WITH THE CONTROLS IN A SMALL PANELLED SHED AGAINST THE FENCE.","counts.shins.mile","355551","117222","Waste"
"17882","HOLT","46A LEIGH ROAD","Private Sewage Pumping Station","In Use","BA14 6PW","","pizzas.novels.contrived","385769","161792","Waste"
"17883","SOUTH STOKE","THE OLD COACH HOUSE","Private Sewage Pumping Station","In Use","BA2 7DL","","dirt.grace.incomes","374984","161406","Waste"
"17884","TETBURY","LONDON ROAD","Private Sewage Pumping Station","In Use","GL8 8HR","","elections.double.rushed","389175","193714","Waste"
"17885","VERWOOD","33 WISTERIA DRIVE","Sewage Pumping Station","In Use","BH31 6XJ","FOLLOW THE POSTCODE TO 33 WISTERIA DRIVE, VERWOOD. PARK IN THE DRIVE OF NO 33 THE PS AND CONTROLS ARE IN THE FRONT GARDEN.","musician.brick.forge","410143","107723","Waste"
"17886","LEIGH UPON MENDIP","ACORN HOUSE","Private Sewage Pumping Station","In Use","BA3 5QF","","eruptions.pools.unscrew","368486","147244","Waste"
"17887","RODMARTON","HAZELTON MANOR FARM","Sludge Storage Site","In Use","GL7 6PG","FARM ID 49J.","deflate.juggled.topples","392939","198299","Waste"
"17888","TURNWORTH","TURNWORTH FARM","Sludge Storage Site","In Use","DT11 0EE","FARM ID 91A.","mankind.booklets.discrepancy","381979","107787","Waste"
"17889","KEYNSHAM","BROADMEAD LANE","Private Sewage Pumping Station","In Use","BS31 1ST","","letter.adding.lucky","366544","168380","Waste"
"17891","HAM","O/S THE DAIRY","Sewage Pumping Station","In Use","TA21 9JB","TAKE THE A38 FROM TAUNTON TO WELLINGTON, TURN RIGHT BY CAMELOT NURSING HOME, FOLLOW THE ROAD FOR APPROX 600 METRES, THEN TURN RIGHT, SITE IS IN FRONT GARDEN OF THE DAIRY (FIRST HOUSE ON THE RIGHT).","trespass.plea.sprint","315668","121716","Waste"
"17892","TIMSBURY","RADFORD HILL","Combined Sewer Overflow","In Use","BA3 1LE","","spend.skippers.flown","367114","158527","Waste"
"17893","MAIDEN NEWTON","CATTISTOCK ROAD BOOSTER","Distribution Site","In Use","DT2 0AG","","refer.taxed.racked","359734","97948","Suppl"
"17895","POOLE","CHERRY CLOSE SURFACE WATER","Sewage Pumping Station","Demolished","BH14 0LJ","","desk.acid.army","403497","91989","Waste"
"17896","COMBE FLOREY","COMBE DOWN LODGE","Single Property Booster","In Use","TA4 3JG","","cubed.vocally.defeat","313465","131208","Suppl"
"17897","BATHFORD","LYDIAN PROSPECT PLACE","Single Property Booster","In Use","BA1 7TP","","loser.tennis.ridge","379617","166562","Suppl"
"17898","BATHFORD","HIGH FRITH PROSPECT PLACE","Single Property Booster","In Use","BA1 7TP","","voices.short.cheeks","379580","166559","Suppl"
"17899","SUTTON VENY","SOUTHLEIGH FARM HOUSE","Single Property Booster","In Use","BA12 7BP","","journals.geek.decoder","387615","141826","Suppl"
"17900","MILTON ABBAS","HIGH LODGE ANNEX DEER PARK","Single Property Booster","In Use","DT11 0LY","","footpath.deriving.highlighted","380878","103115","Suppl"
"17901","SHAFTESBURY","THREE WAYS","Single Property Booster","In Use","SP7 0LT","","eruptions.scenes.chapels","386495","121347","Suppl"
"17902","HIGHBRIDGE","BASON BRIDGE FACTORY LANE","Private Sewage Pumping Station","In Use","TA9 4RN","ON SINGLE MANAGED SITE.","copies.fury.unframed","334692","145873","Waste"
"17903","BAGBOROUGH","HILLVIEW INDUSTRIAL ESTATE","Private Sewage Pumping Station","In Use","TA4 3EW","SINGLE MANAGED SITE","dome.pampering.firepower","316189","133258","Waste"
"17905","HINTON","HEALY DRIVE","Private Sewage Treatment Works","In Use","SN14 8HQ","","object.zoned.deflated","373422","176839","Waste"
"17906","MISTERTON","1 MILL LANE","Private Sewage Pumping Station","In Use","TA18 7RZ","","appealing.eruptions.yourself","346053","108423","Waste"
"17907","MISTERTON","2 MILL LANE","Private Sewage Pumping Station","In Use","TA18 7RZ","","fries.pampered.tacky","346039","108436","Waste"
"17908","MISTERTON","3 MILL LANE","Private Sewage Pumping Station","In Use","TA18 7RZ","","mooring.mediate.detriment","346045","108449","Waste"
"17909","MISTERTON","4 MILL LANE","Private Sewage Pumping Station","In Use","TA18 7RZ","","elbowing.worldwide.places","346033","108466","Waste"
"17910","NEWTON ST. LOE","BATH SPA UNIVERSITY","Private Sewage Pumping Station","In Use","BA2 9BW","ON SINGLE MANAGED SITE.","nests.trout.sourcing","369573","164021","Waste"
"17913","BALLINGTON FARM","BALLINGTON FARM  SLUDGE STORAGE SITE","Sludge Storage Site","In Use","BA12 0QE","","captions.folds.hairspray","402248","137892","Waste"
"17917","CIRENCESTER PARK","OX YARD OFFICE","Sludge Storage Site","In Use","GL7 6LX","","shameless.blunt.hedgehog","399900","202650","Waste"
"17918","MERE","TOWNSEND CLOSE","Sewage Pumping Station","In Use","BA12 6JZ","IF ENTERING MERE FROM WEST OFF A303, TRAVEL DOWN CASTLE STREET AND TOWNSEND CLOSE IS ON RIGHT HAND SIDE JUST AFTER LITTLE INDUSTRIAL ESTATE.","ruled.dubbing.headrest","380863","132214","Waste"
"17919","MILBORNE ST. ANDREW","DEVERILL FARM","Sludge Storage Site","In Use","DT11 OHX","FARM ID 78T/","parade.rave.recruited","381333","98423","Waste"
"17920","CHIPPENHAM","THE TURNPIKE","Sewage Pumping Station","In Use","SN15 3XA","TRAVEL FROM CHIPPENHAM TOWN CENTRE ON THE LONDON ROAD, JUST AFTER TURNING TO STANLEY PARK SPORTS FIELDS ON THE LEFT TURN RIGHT INTO THE TURNPIKE. PS IS ON RIGHT HAND SIDE NEXT TO NO 3 BEHIND FENCE.","noises.appeal.fault","393557","172262","Waste"
"17921","BRISTOL","REDWOOD HOUSE","Single Property Pumping Station","In Use","BS2 9DS","","rents.pushes.locker","359736","173533","Waste"
"17922","TAUNTON","GREAT WESTERN WAY NO. 1","Sewage Pumping Station","In Use","TA2 6RX","GALMINGTON DRIVING NORTH UP SILK MILLS ROAD TAKE FIRST LEFT AFTER RAILWAY BRIDGE. ROAD IS UNNAMED BUT SIGNED LANGFORD MEAD. SITE IS 160M ON RHS NEXT TO ELECTRICITY SUB STATION.","notion.fonts.purple","320479","126040","Waste"
"17923","BURLEY","BURBUSH FARM","Private Sewage Pumping Station","In Use","BH24 4EF","","easily.hopes.trendy","420490","102169","Waste"
"17924","URCHFONT","CUCKOO FARM YARD","Sewage Pumping Station","In Use","SN10 4SL","FROM CENTRE OF URCHFONT TRAVEL EAST ON THE CROOKWOOD LANE ROAD, CUCKOO YARD FARM IS ON THE RIGHT HAND SIDE. PARK AS CLOSE TO THE PUMPING STATION (50M ON LEFT) AS POSSIBLE, TRY NOT TO BLOCK ACCESS TO RESIDENTS.","tens.mended.winemaker","403561","157251","Waste"
"17926","POOLE","CIVIC CENTRE","Private Sewage Pumping Station","In Use","BH15 2RU","OWNED BY POOLE BC","skinny.dozed.doors","402760","91443","Waste"
"17927","POOLE","CYNTHIA CLOSE","Private Sewage Pumping Station","In Use","BH12 3JD","OWNED BY POOLE BC","rungs.forget.prom","403708","93268","Waste"
"17928","POOLE","TRINIDAD HOUSE","Private Sewage Pumping Station","In Use","BH12 3NF","OWNED BY POOL BC","legs.jobs.dive","404046","93794","Waste"
"17929","POOLE","SALTERNS MARINA","Private Sewage Pumping Station","In Use","BH14 8JR","ON SINGLE MANAGED SITE.","action.follow.salsa","403612","89603","Waste"
"17930","RODE","2-3 THE SPORTSMAN","Sewage Pumping Station","In Use","BA11 6AB","ENTER RODE FROM TROBRIDGE ON A361 AND TURN RIGHT BACK TO THE SPORTSMAN IS FIRST TURNING ON LEFT. NO 2 IS IN TOP LEFT HAND CORNER AND KIOSK IS IN GARDEN ON WALL OF NO 1.","crowns.snippets.insect","380978","153784","Waste"
"17931","RODE","4 THE SPORTSMAN","Sewage Pumping Station","In Use","BA11 6AB","ENTER RODE FROM TROWBRIDGE ON A361 AND TURN RIGHT BACK TO THE SPORTSMAN IS FIRST TURNING ON LEFT. KIOSKS ARE BY PARKING SPACES AT THE END OF TE CUL-DE-SAC OUTSIDE NO 4.","imprinted.trickster.airless","380998","153785","Waste"
"17932","POOLE","ROCKLEY POINT BOAT YARD","Private Sewage Pumping Station","In Use","BH15 4LZ","ON SINGLE MANAGED SITE.","venues.arch.margin","397339","91100","Waste"
"17933","POOLE","ASDA SINGLE PROPERTY","Private Sewage Pumping Station","In Use","BH15 1JQ","OWNED BY ASDA. SINGLE PROPERTY.","reef.monks.line","400964","90946","Waste"
"17934","POOLE","UPTON HOUSE","Private Sewage Pumping Station","In Use","BH17 7BJ","OWNED BY POOLE BC","tend.aside.soil","399417","92987","Waste"
"17935","POOLE","MARINES CAMP","Private Sewage Pumping Station","In Use","BH15 4NQ","OWNED BY MOD","mops.effort.tribe","398648","91030","Waste"
"17936","POOLE","ROCKLEY SANDS 1","Private Sewage Pumping Station","In Use","BH15 4LZ","OWNED BY ROCKLEY SANDS. ON SINGLE MANAGED SITE.","toned.news.fully","397637","91264","Waste"
"17937","POOLE","ROCKLEY SANDS 2","Private Sewage Pumping Station","In Use","BH15 4LZ","OWNED BY ROCKLEY SANDS. ON SINGLE MANAGED SITE.","twice.monday.clubs","397579","90842","Waste"
"17938","BOSCOMBE","MARINA CLOSE","Private Sewage Pumping Station","In Use","BH5 1BT","OWNED BY MAINTENANCE COMPANY","estate.remit.powder","411208","91269","Waste"
"17939","CHRISTCHURCH","WATERSIDE","Sewage Pumping Station","In Use","BH23 3NZ","FOLLOW THE POSTCODE TO WATERSIDE CHRISTCHURCH, TURN OFF MUDEFORD ROAD INTO RUSHFORD WARREN ROAD. DRIVE TO THE END TURN LEFT AND PARK IN FRONT OF NO 2 THE PS IS IN FRONT OF NO 2.","plug.glove.launch","417800","91932","Waste"
"17940","CHRISTCHURCH","THE MERIDIANS","Private Sewage Pumping Station","In Use","BH23 1RB","SINGLE MANAGED SITE","link.lots.define","414915","92541","Waste"
"17941","CHRISTCHURCH","PRIORY QUAY","Sewage Pumping Station","In Use","BH23 1DR","FOLLOW THE POSTCODE TO PRIORY QUAY, CHRISTCHURCH. FROM QUEENS AVENUE TURN INTO QUAY ROAD DRIVE PAST THE OLD MILL TEA ROOM ON YOUR LEFT, GO PAST THE S BEND TO PRIORY QUAY, THE PS IS OUTSIDE NO 12 WITH THE CONTROLS IN A BLACK WOODEN PANELLED ENCLOSURE.","shape.monks.spits","416068","92391","Waste"
"17942","WAREHAM","REDCLIFFE CARAVAN PARK","Private Sewage Pumping Station","In Use","BH20 5BE","ON SINGLE MANAGED SITE.","found.rationed.elevates","393329","86597","Waste"
"17943","WAREHAM","GRANGE ROAD","Private Sewage Pumping Station","In Use","BH20 5AL","ON SINGLE MANAGED SITE.","tigers.hydration.schools","392077","85672","Waste"
"17944","LOWER ODD FARM","CRUDWELL","Sludge Storage Site","In Use","SN16 9SN","FARM ID 52P.","strongly.bookcases.protected","396029","195286","Waste"
"17945","POOLE","MINTERN ROAD","Private Sewage Pumping Station","In Use","BH14 8NA","","flank.weedy.lamps","404351","89309","Waste"
"17946","POOLE","CRICHEL MOUNT ROAD","Sewage Pumping Station","In Use","BH14 8LT","","print.chase.skips","404349","89693","Waste"
"17947","POOLE","HAMWORTHY SSC","Private Sewage Pumping Station","In Use","BH21 3AP","OWNED BY HAMWORTHY ENGINEERING. ON SINGLE MANAGED SITE.","frozen.unclaimed.shiver","403639","97784","Waste"
"17948","POOLE","POOLE ROAD","Private Sewage Pumping Station","In Use","BH16 5JB","OWNED BY TESCO","filed.ports.sketch","398455","93085","Waste"
"17949","LYTCHETT MATRAVERS","CHARBOROUGH CLOSE","Sewage Pumping Station","In Use","BH16 6D","FOLLOW POSTCODE BH16 6DH, SITE IN FRONT GARDEN ON NO 10 BEHIND BUSHES.","superbly.household.offline","394344","95773","Waste"
"17950","POOLE","LAKE PIER","Private Sewage Pumping Station","In Use","BH15 4LR","OWNED BY POOLE BC. ON SINGLE MANAGED SITE.","useful.cliff.vital","398336","90526","Waste"
"17951","POOLE","CANFORD CLIFFS","Private Sewage Pumping Station","In Use","BH13 7JE","OWNED BY POOLE BC","bike.decreased.factories","405708","89034","Waste"
"17952","POOLE","TESCO SURFACE WATER","Private Sewage Pumping Station","In Use","BH17 7EJ","ON SINGLE MANAGED SITE.","view.visa.stuff","400806","93295","Waste"
"17953","POOLE","CREMATORIUM","Private Sewage Pumping Station","In Use","BH17 7EJ","ON SINGLE MANAGED SITE.","round.many.note","401747","96321","Waste"
"17954","FALFIELD","WATERMILL CLOSE","Private Sewage Treatment Works","In Use","GL12 8BW","","shut.intrigues.crystals","368486","193334","Waste"
"17955","FALFIELD","SUNDAYSHILL LANE","Private Sewage Treatment Works","In Use","GL12 8DQ","","soulful.gravitate.months","367974","193327","Waste"
"17956","MONKSHAM FARM","MARSTON BIGOT","Sludge Storage Site","In Use","BA11 5BR","FARM ID 91K.","parkland.blank.hides","376630","142898","Waste"
"17957","BOSCOMBE","HONEYCOMBE CHINE","Private Sewage Pumping Station","In Use","BH5 1LG","OWNED BY MANAGEMENT COMPANY","string.game.melt","411441","91214","Waste"
"17958","BOURNEMOUTH","ST PETERS ROAD","Private Sewage Pumping Station","In Use","BH1 2AG","OWNED BY MANAGEMENT COMPANY SINGLE FREEHOLD","combining.total.waters","409057","91241","Waste"
"17959","UPTON","BEACH ROAD","Sewage Pumping Station","In Use","BH16 5NA","FOLLOW POSTCODE BH16 5NA, THEN FOLLOW STONE TRACK FOR APPROX 150 METRES, AT THE BOTTOM TURN LEFT AND DRIVE FOR APPROX 100 METRES, SITE IS ON LEFT HAND SIDE OUTSIDE OF PROPERTY CALLED WINDSONG.","toys.system.payer","397278","92853","Waste"
"17960","POOLE","BRANKSOME DENE","Private Sewage Pumping Station","In Use","BH13 6JT","","sparks.staple.dangerously","406874","89944","Waste"
"17961","POOLE","FOXHOLES ROAD","Sewage Pumping Station","In Use","BH15 3ND","FROM A3049 (EAST TO WEST) TAKE THE SLIP ROAD OFF THE DUAL CARRIGEWAY AND PROCEED DOWN DALE VALLEY ROAD. TURN LEFT ONTO FOXHOLES ROAD THEN 250FT ON RIGHT IS A SMALL CUL-DE-SAC. THE PUMPING STATION WET WELL AND PUMPS IS LOCATED IN THE MIDDLE OF THE ROAD UN","float.sector.string","402955","92959","Waste"
"17962","OLD FONTHILL","ABBEY ESTATE","Sludge Storage Site","In Use","SP3 6QR","FARM ID 91L.","wove.defeated.rope","390663","130528","Waste"
"17963","HOLTON HEATH","WAREHAM ROAD","Private Sewage Pumping Station","In Use","BH16 6JS","","loves.stale.skins","394539","91536","Waste"
"17964","YATTON KEYNELL","COOPERS MEADOW","Sewage Pumping Station","In Use","SN14 7PZ","ENTER YATTON KEYNELL FROM THE SOUTH ON THE B4039 AND THEN BARE RIGHT ON THE STREET JUST AFTER THE TURNING TO CHURCH FARM. COOPERS MEADOW IS THE 1ST RIGHT AND THE PS IS AT THE END OF THE CUL-DE-SAC IN THE FRONT GARDEN OF NO 2 HIDDEN BY THE HEDGE.","encoder.automatic.wordplay","386699","176617","Waste"
"17965","WAREHAM","MEADOW COTTAGE","Sewage Pumping Station","In Use","BH20 5BE","FOLLOW THE POSTCODE TO MEADOW COTTAGE, WAREHAM. FROM BARNHILL ROAD TURN INTO THE ENTRANCE ROAD TO RED CLIFF CAMPSITE. FOLLOW THE LANE DOWN THE HILL AT THE BOTTOM TURN LEFT, PASS THE FARM HOUSE AND PARK IN FRONT OF MEADOW COTTAGE. THE PS IS IN A SAMLL FEN","corporate.bunny.lasts","393115","86633","Waste"
"17966","WAREHAM","REDCLIFFE CARAVAN PARK","Private Sewage Treatment Works","In Use","BH20 5BE","","herbs.much.annual","393321","86657","Waste"
"17967","WEYMOUTH","NOTTINGTON LANE","Sewage Pumping Station","In Use","DT3 5DF","FOLLOW POSTCODE DT3 5DF, TURN FIRST RIGHT AND FOLLOW ROAD FOR APPROX 100./ PUMPING STATION IS IN THE FRONT GARDEN OF NUMBER 26.","heads.sobs.entitles","366658","82862","Waste"
"17968","LEYHILL","PRISON","Sewage Treatment Works","In Use","GL12 8BS","","quarrel.pools.providing","369000","192770","Waste"
"17969","UPPER TWINHOE","FARM","Sludge Storage Site","In Use","BA2 8QX","","ships.poster.clear","374783","159591","Waste"
"17970","STEEPLE LANGFORD","REED BED","Sewage Monitor","In Use","SP3 4NH","","swerving.farmed.heads","404421","137034","Waste"
"17971","YEOVIL","GEORGE SMITH WAY","Sewage Pumping Station","In Use","BA22 8RP","","nearly.debut.headings","352077","116856","Waste"
"17973","SOUTHWICK","FROME ROAD","Sewage Pumping Station","In Use","BA14 9QB","TURN OFF A361 FROM TROBRIDGE INTO SOUTHWICK DOWN PRIVATE ROAD OF LEFT HAND SIDE, TRAVEL TO BOTTOM OF THIS ROAD AND PS IS ON THE LEFT BY THE HEDGE.","refers.bills.curve","384093","155622","Waste"
"17974","POOLE","WESSEX GATE RETAIL PARK","Private Sewage Pumping Station","In Use","BH15 3TE","SINGLE MANAGED SITE","think.skinny.soup","400716","92779","Waste"
"17975","LEIGH WOODS","NORTH ROAD","Sewage Pumping Station","In Use","BS8 3PJ","","pitch.forum.fears","355855","173060","Waste"
"17976","MINEHEAD","HAYFIELD CLOSE","Private Sewage Pumping Station","In Use","TA24 6DE","SINGLE PROPERTY PUMPING STATION","lousy.tinsel.asking","297701","145580","Waste"
"17977","MISERDEN PARK FARM","MISERDEN PARK","Sludge Storage Site","In Use","Gl6 7JA","","found.champions.shielding","394130","208883","Waste"
"17978","NAILSEA","BUCKLANDS END","Single Property Pumping Station","In Use","BS48 4PN","LOCATED IN THE FRONT DRIVEWAY OF NUMBER 6 BUCKLANDS END NAILSEA.","match.drips.bounty","347772","169588","Waste"
"17979","RINGWOOD","WINDMILL SERVICE STATION","Private Sewage Pumping Station","In Use","BH24 3PB","","stepping.magpie.screaming","415000","106650","Waste"
"17980","VERWOOD","25 SPRINGFIELD ROAD","Private Sewage Pumping Station","In Use","BH31 6HY","","matter.fetching.alarming","408700","108138","Waste"
"17981","UPPER HILCOT","STOWELL PARK","Sludge Storage Site","In Use","GL53 9RD","FARM ID 56J.","relatives.pausing.invents","398140","215995","Waste"
"17982","MONKTON COMBE","MILL","Sewage Pumping Station","In Use","BA2 7HD","","verbs.supply.pipes","377470","161896","Waste"
"17985","TIDWORTH","HUMBER LANE","Private Sewage Treatment Works","In Use","SP9 7AW","","registers.paler.effort","423093","147799","Waste"
"17986","TAUNTON","POPLAR ROAD","Sewage Pumping Station","In Use","TA1 2SB","FOLLOW POSTCODE TA1 2SB, SITE ON EDGE OF CAR PARK NEXT TO NUMBER 41.","headlight.vipers.eliminate","324720","123840","Waste"
"17987","CLUTTON","THE SIDINGS","Private Sewage Pumping Station","In Use","BS39 5EF","","caramel.bench.built","362756","159124","Waste"
"17988","WARMINSTER","QUEENS CHASE","Sewage Pumping Station","In Use","BA12 0BJ","TAKE WESTBURY ROAD INTO WARMINSTER, TRAVEL PAST GOLF CLUB AND QUEENS CHASE IS 5TH TURNING ON RIGHT. TRAVEL DOWN QUEENS CHASE AND TAKE LEFT TURNING AT THE GRASS ROUNDABOUT, KEEP GOING TO END OF ROAD AND PS IS IN BETWEEN 2 HOUSES IN THE BOTTOM LEFT HAND CO","ecologist.soggy.cuddling","387281","145876","Waste"
"17989","CLARENDON PARK ESTATE","SALISBURY","Sludge Storage Site","In Use","SP5 3EW","FARM ID 87F.","kebabs.evaded.curls","419455","128533","Waste"
"17990","ALMONDSBURY","AZTEC WEST","Sewage Pumping Station","In Use","BS32 4UE","TURN LEFT AT THE ENTRANCE ROUNDABOUT TO AZTEC WEST THEN TURN LEFT INTO WATERSIDE DRIVE SIGNPOSTED BUILDING 100-740. PLEASE NOTE THAT TO GAIN ACCESS TO THE SPS YOU WILL NEED TO VISIT RECEPTION IN THE MAIN BUILDING AND ASK THEM TO RAISE THE SECURITY BARRIE","kicked.crown.snake","360234","182193","Waste"
"17991","REMO FARM","SHIPTON MOYNE","Sludge Storage Site","In Use","GL8 8PJ","FARM ID 12B.","december.spot.passports","388637","191459","Waste"
"17992","MANOR FARM","GREEN ROAD CODFORD","Sludge Storage Site","In Use","BA12 0NP","","could.expecting.stubborn","397088","141473","Waste"
"17993","MOORWOOD ESTATE","WOODMANCOTE","Sludge Storage Site","In Use","Gl7 7EB","","snacks.ladders.fermented","399940","210800","Waste"
"17994","BOYTON FARMS COMPANY","BROADLEAZE","Sludge Storage Site","In Use","BA12 0SS","FARM ID 91M.","retina.rekindle.loaf","393619","140142","Waste"
"17995","FRAMPTON COTTERELL","THE MEADS","Sewage Pumping Station","In Use","BS36 2FS","SPS IS LOCATED NEXT TO NO 1 CHRISTY CLOSE FRAMPTON COTTERELL OFF HEATHER AVENUE.","soggy.owners.committed","366765","180796","Waste"
"17996","BURDEROP FARM","BURDEROP","Sludge Storage Site","In Use","SN4 0PZ","FARM ID SCISYS 46T.","vase.speech.places","416912","180227","Waste"
"17997","WARMINSTER","STATION ROAD SURFACE WATER","Private Sewage Pumping Station","In Use","BA12 9BR","","caravans.routines.month","387756","145216","Waste"
"17998","NORTH PERROTT","WHITE VINE FARM","Private Reservoir","In Use","TA18 7TD","","shuttling.broads.trooper","349888","108418","Suppl"
"17999","WILSTOCK VILLAGE","CLOVER WAY","Sewage Pumping Station","In Use","TA5 2EY","FROM JUNCTION 25 OF THE M5 TAKE THE NEW DISTRIBUTOR ROAD, CAMPION WAY, INTO THE DEVELOPMENT. AFTER A 1.2KM STRAIGHT CLOVER WAY IS THE FIRST RIGHT TURN AND THE SITE IS 142M ON THE RIGHT HAND SIDE.","monkey.arts.meal","329231","135164","Waste"
"18000","BRISTOL","10 ELGIN PARK","Private Sewage Pumping Station","In Use","BS6 6RU","","system.apply.evenly","357793","174703","Waste"
"18001","CHRISTCHURCH","AIRFIELD WAY INTERCEPTOR","Sewage Interceptor / Detention Tank / Storm Tanks","In Use","","","search.hiking.payer","418234","93079","Waste"
"18002","CHRISTCHURCH","ANCHOR CLOSE INTERCEPTOR","Sewage Interceptor / Detention Tank / Storm Tanks","In Use","BH23 4AJ","BETWEEN NO.S 6 AND 7 ANCHOR CLOSE CHRISTCHURCH","issues.unique.fuel","418479","92055","Waste"
"18003","WEYMOUTH","KWIK FIT CAR PARK INTERCEPTOR","Sewage Interceptor / Detention Tank / Storm Tanks","In Use","DT4 7BG","","prone.items.shells","367793","79620","Waste"
"18004","SALISBURY","CHURCHFIELDS IND EST OIL INTERCEPTOR","Sewage Interceptor / Detention Tank / Storm Tanks","In Use","SP2 7NP","TURN OFF CHURCHFIELDS ROAD ONTO STEPHENSON ROAD AND CONTINUE TO THE END OF THE ROAD. THE TANK IS IN THE CARPARK AT THE END.","salad.shaped.dive","413287","129703","Waste"
"18005","CHRISTCHURCH","CONIFER CLOSE OIL INTERCEPTOR","Sewage Interceptor / Detention Tank / Storm Tanks","In Use","BH23 2QS","NEAR CONIFER CLOSE SPS","juggles.ridge.dished","413735","95169","Waste"
"18006","WEYMOUTH","GROVE AVENUE (1)","Sewage Interceptor / Detention Tank / Storm Tanks","Out of Service","","","","367889","80892","Waste"
